Countries or Regions,Currency Code,Price,Apple Price Tier (USD),Original USD Equiv,Diff %
Qatar,QAR,54.99,14.99,14.99,0.0%
Romania,RON,44.99,9.49,9.49,0.0%
Russia,RUB,999.00,9.99,9.99,0.0%
Rwanda,RWF,3749.00,2.99,2.99,0.0%
Saudi Arabia,SAR,56.24,14.99,14.99,0.0%
Senegal,XOF,2999.00,4.99,5.00,-0.2%
Serbia,RSD,779.00,6.99,6.99,0.0%
Seychelles,SCR,134.99,9.99,9.99,0.0%
Sierra Leone,SLL,59900.00,2.99,2.99,0.0%
Singapore,SGD,19.99,14.99,14.99,0.0%
Slovakia,EUR,13.99,14.99,14.92,0.5%
Slovenia,EUR,14.99,15.99,15.99,0.0%
Solomon Islands,SBD,124.99,4.99,4.99,0.0%
South Africa,ZAR,149.00,7.99,8.00,-0.1%
South Korea,KRW,18990.00,13.99,13.99,0.0%
Spain,EUR,14.99,15.99,15.99,0.0%
Sri Lanka,LKR,1490.00,4.99,5.00,-0.2%
St Kitts & Nevis,XCD,40.49,14.99,14.99,0.0%
St Lucia,XCD,40.49,14.99,14.99,0.0%
Suriname,USD,5.99,5.99,5.99,0.0%
Sweden,SEK,159.00,14.99,14.99,0.0%
Switzerland,CHF,14.99,16.99,17.49,-2.9%
Taiwan,TWD,479.00,14.99,14.99,0.0%
Tajikistan,TJS,42.49,3.99,3.99,0.0%
Tanzania,TZS,11900.00,4.99,5.00,-0.2%
Thailand,THB,249.00,6.99,7.00,-0.1%
Tonga,TOP,13.49,4.99,4.99,0.0%
Trinidad & Tobago,TTD,67.99,9.99,9.99,0.0%
Tunisia,TND,18.49,5.99,5.99,0.0%
Turkey,TRY,299.00,8.49,8.50,-0.1%
Turkmenistan,TMT,24.49,6.99,6.99,0.0%
Uganda,UGX,11190.00,2.99,2.99,0.0%
Ukraine,UAH,349.00,8.49,8.40,1.1%
United Arab Emirates,AED,54.99,14.99,14.99,0.0%
United Kingdom,GBP,11.99,14.99,15.49,-3.2%
Uruguay,UYU,389.00,9.99,9.99,0.0%
Uzbekistan,UZS,49900.00,3.99,3.99,0.0%
Vanuatu,VUV,599.00,4.99,4.99,0.0%
Venezuela,VES,289.90,7.99,7.99,0.0%
Vietnam,VND,129000.00,4.99,5.00,-0.2%
