Countries or Regions,Currency Code,Price,Apple Price Tier (USD),Original USD Equiv,Diff %
Poland,PLN,319.00,94.99,94.08,1.0%
Portugal,EUR,103.99,139.99,138.48,1.1%
Qatar,QAR,439.99,139.99,143.76,-2.6%
Romania,RON,359.99,89.99,91.08,-1.2%
Russia,RUB,7990.00,94.99,95.88,-0.9%
Rwanda,RWF,29990.00,28.99,28.68,1.1%
Saudi Arabia,SAR,449.96,139.99,143.88,-2.7%
Senegal,XOF,23999.00,44.99,47.16,-4.6%
Serbia,RSD,6229.00,64.99,67.08,-3.1%
Seychelles,SCR,1079.90,94.99,95.88,-0.9%
Sierra Leone,SLL,479000.00,28.99,28.68,1.1%
Singapore,SGD,159.99,139.99,143.76,-2.6%
Slovakia,EUR,111.99,149.99,149.16,0.6%
Slovenia,EUR,119.99,159.99,159.72,0.2%
Solomon Islands,SBD,999.00,49.99,47.88,4.4%
South Africa,ZAR,1190.00,74.99,76.68,-2.2%
South Korea,KRW,151900.00,129.99,134.28,-3.2%
Spain,EUR,119.99,159.99,159.72,0.2%
Sri Lanka,LKR,11910.00,49.99,48.00,4.1%
St Kitts & Nevis,XCD,324.00,139.99,144.00,-2.8%
St Lucia,XCD,324.00,139.99,144.00,-2.8%
Suriname,USD,47.99,49.99,48.00,4.1%
Sweden,SEK,1270.00,139.99,143.64,-2.5%
Switzerland,CHF,119.99,169.99,167.88,1.3%
Taiwan,TWD,3829.00,139.99,143.64,-2.5%
Tajikistan,TJS,339.90,37.99,38.28,-0.8%
Tanzania,TZS,95190.00,49.99,47.88,4.4%
Thailand,THB,1990.00,64.99,67.08,-3.1%
Tonga,TOP,107.99,49.99,47.88,4.4%
Trinidad & Tobago,TTD,543.90,94.99,95.88,-0.9%
Tunisia,TND,147.99,54.99,57.48,-4.3%
Turkey,TRY,2390.00,79.99,81.48,-1.8%
Turkmenistan,TMT,195.90,64.99,67.20,-3.3%
Uganda,UGX,89490.00,28.99,28.68,1.1%
Ukraine,UAH,2789.00,79.99,80.52,-0.7%
United Arab Emirates,AED,439.99,139.99,143.88,-2.7%
United Kingdom,GBP,95.99,149.99,148.68,0.9%
Uruguay,UYU,3109.00,94.99,95.88,-0.9%
Uzbekistan,UZS,399000.00,37.99,38.28,-0.8%
Vanuatu,VUV,4790.00,49.99,47.76,4.7%
Venezuela,VES,2319.00,74.99,76.68,-2.2%
Vietnam,VND,1032000.00,49.99,48.00,4.1%
Yemen,YER,5990.00,28.99,28.68,1.1%
Zambia,ZMW,639.90,37.99,38.28,-0.8%
Zimbabwe,USD,31.90,31.99,31.92,0.2%
Ecuador,USD,47.99,49.99,48.00,4.1%
Gibraltar,GBP,95.99,149.99,148.68,0.9%
Liechtenstein,CHF,119.99,169.99,167.88,1.3%
Macao,MOP,951.00,139.99,143.88,-2.7%
Micronesia,USD,39.99,39.99,39.96,0.1%
Monaco,EUR,119.99,159.99,159.72,0.2%
San Marino,EUR,119.99,159.99,159.72,0.2%
Turks and Caicos Islands,USD,119.99,119.99,120.00,-0.0%
Vatican City,EUR,119.99,159.99,159.72,0.2%
