Countries or Regions,Currency Code,Price,Apple Price Tier (USD),Original USD Equiv,Diff %
Portugal,EUR,30.28,39.99,41.58,-3.8%
Qatar,QAR,128.14,44.99,44.97,0.0%
Romania,RON,104.84,27.99,28.47,-1.7%
Russia,RUB,2327.00,29.99,29.97,0.1%
Rwanda,USD,6.97,8.99,8.97,0.2%
São Tomé and Príncipe,USD,11.64,14.99,14.97,0.1%
Saudi Arabia,SAR,131.04,44.99,44.97,0.0%
Senegal,USD,11.64,14.99,14.97,0.1%
Serbia,EUR,16.29,21.99,22.38,-1.7%
Seychelles,USD,23.28,29.99,29.97,0.1%
Sierra Leone,USD,6.97,8.99,8.97,0.2%
Singapore,SGD,46.59,44.99,44.97,0.0%
Slovakia,EUR,32.59,44.99,44.76,0.5%
Slovenia,EUR,34.94,49.99,47.97,4.2%
Solomon Islands,USD,11.64,14.99,14.97,0.1%
South Africa,ZAR,347.00,23.99,24.00,-0.0%
Spain,EUR,34.94,49.99,47.97,4.2%
Sri Lanka,USD,11.64,14.99,14.97,0.1%
Suriname,USD,13.96,17.99,17.97,0.1%
Sweden,SEK,370.00,44.99,44.97,0.0%
Switzerland,CHF,34.94,49.99,52.47,-4.7%
Taiwan,TWD,1116.00,44.99,44.97,0.0%
Tajikistan,USD,9.30,11.99,11.97,0.2%
Tanzania,TZS,27729.00,14.99,15.00,-0.1%
Thailand,THB,580.00,20.99,21.00,-0.0%
Tonga,USD,11.64,14.99,14.97,0.1%
Tunisia,USD,13.96,17.99,17.97,0.1%
Turkmenistan,USD,16.29,20.99,20.97,0.1%
Turks and Caicos Islands,USD,34.99,44.99,44.97,0.0%
Uganda,USD,6.97,8.99,8.97,0.2%
Ukraine,USD,16.29,20.99,20.97,0.1%
United Arab Emirates,AED,128.14,44.99,44.97,0.0%
United Kingdom,GBP,27.94,44.99,46.47,-3.2%
Uruguay,USD,23.28,29.99,29.97,0.1%
Uzbekistan,USD,9.30,11.99,11.97,0.2%
Vanuatu,USD,11.64,14.99,14.97,0.1%
Venezuela,USD,13.96,17.99,17.97,0.1%
Vietnam,VND,300570.00,14.99,15.00,-0.1%
Yemen,USD,6.97,8.99,8.97,0.2%
Zambia,USD,9.30,11.99,11.97,0.2%
Zimbabwe,USD,9.30,11.99,11.97,0.2%
